id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,district,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019
"101",South Sulawesi ,Enrekang," 2,605,142 "," 2,815,547 "," 3,021,203 "," 3,197,504 "," 3,389,146 "," 3,623,224 "," 3,899,586 "," 4,166,405 "," 4,302,051 "," 4,535,551 ",Enrekang,"0","0","0","1","1","1","1","1","1","1"
"102",West Papua ,Fakfak," 1,972,123 "," 2,084,180 "," 2,246,603 "," 2,436,275 "," 2,611,541 "," 2,801,967 "," 2,948,829 "," 3,159,028 "," 3,367,230 "," 3,545,308 ",Fakfak,"0","0","0","0","0","0","0","0","0","0"
"103",East Nusa Tenggara,Flores Timur," 2,324,445 "," 2,429,253 "," 2,536,430 "," 2,658,761 "," 2,787,339 "," 2,915,832 "," 3,045,559 "," 3,182,457 "," 3,333,448 "," 3,493,517 ",Flores Timur,"0","0","0","0","0","0","0","0","0","0"
"104",West Java,Garut," 25,465,222 "," 26,726,850 "," 27,815,341 "," 29,138,482 "," 30,541,631 "," 31,919,059 "," 33,803,539 "," 35,464,912 "," 37,225,155 "," 39,092,492 ",Garut,"0","0","0","1","1","1","1","1","1","1"
"105",Aceh,Gayo Lues," 1,389,537 "," 1,452,757 "," 1,531,659 "," 1,590,760 "," 1,652,369 "," 1,717,273 "," 1,788,140 "," 1,872,227 "," 1,896,150 "," 1,920,005 ",Gayo Lues,"1","1","1","1","1","1","1","1","1","1"
"106",Bali,Gianyar," 10,902,884 "," 11,682,131 "," 12,508,663 "," 13,361,397 "," 14,269,423 "," 15,168,553 "," 16,125,358 "," 17,005,121 "," 18,027,092 "," 19,040,901 ",Gianyar,"0","0","0","0","0","0","0","0","0","0"
"107",Gorontalo,Gorontalo," 4,820,742 "," 5,193,086 "," 5,594,793 "," 6,027,132 "," 6,495,462 "," 6,905,441 "," 7,362,443 "," 7,861,953 "," 8,349,313 "," 8,868,730 ",Gorontalo,"0","0","0","0","0","0","0","0","0","0"
"108",Gorontalo,Gorontalo Utara," 1,250,045 "," 1,337,545 "," 1,432,877 "," 1,535,437 "," 1,645,679 "," 1,765,874 "," 1,896,420 "," 2,036,906 "," 2,177,967 "," 2,325,474 ",Gorontalo Utara,"0","0","0","0","0","0","0","0","0","0"
"109",South Sulawesi ,Gowa," 7,132,479 "," 7,664,513 "," 8,289,113 "," 9,070,002 "," 9,720,170 "," 10,380,219 "," 11,166,022 "," 11,971,359 "," 12,825,808 "," 13,783,115 ",Gowa,"0","0","0","0","0","0","0","0","0","0"
"110",East Java,Gresik," 59,068,639 "," 62,898,691 "," 67,248,792 "," 71,314,179 "," 76,336,048 "," 81,380,444 "," 85,850,108 "," 90,855,603 "," 96,131,613 "," 101,346,548 ",Gresik,"0","0","0","0","0","0","0","0","0","0"
"111",Central Java,Grobogan," 12,766,022 "," 13,172,712 "," 13,842,047 "," 14,474,729 "," 15,064,457 "," 15,962,619 "," 16,682,630 "," 17,659,254 "," 18,688,571 "," 19,692,631 ",Grobogan,"0","0","0","0","0","0","0","0","0","0"
"112",Special Region Yogyakarta ,Gunung Kidul," 8,848,038 "," 9,248,011 "," 9,695,980 "," 10,177,433 "," 10,639,792 "," 11,152,363 "," 11,696,156 "," 12,281,558 "," 12,914,941 "," 13,605,075 ",Gunung Kidul,"0","0","0","0","0","0","0","0","0","0"
