id,province,district,gi2007,gi2008,gi2009,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019,gi2020,gi2021,gi2022,gi2023
172,Maluku,Kota Ambon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Kalimantan Timur ,Kota Balikpapan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Aceh,Kota Banda Aceh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Lampung,Kota Bandar Lampung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Jawa Barat,Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Jawa Barat,Kota Banjar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Kalimantan Selatan,Kota Banjar Baru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Kalimantan Selatan,Kota Banjarmasin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Kalimantan Selatan,Kota Baru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Kep. Riau,Kota Batam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Jawa Timur ,Kota Batu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Sulawesi Tenggara,Kota Baubau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Jawa Barat,Kota Bekasi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Bengkulu,Kota Bengkulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Nusa Tenggara Barat,Kota Bima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Sumatera Utara,Kota Binjai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Sulawesi Utara ,Kota Bitung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Jawa Timur ,Kota Blitar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Jawa Barat,Kota Bogor ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Sumatera Barat,Kota Bukittinggi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Banten,Kota Cilegon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Jawa Barat,Kota Cimahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
