id,province,district,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,hdi2022,hdi2023
160,Papua,Kepulauan Yapen,63.5,63.82,64.11,64.34,64.89,65.28,65.55,66.07,67,67.76,67.66,67.72,68.41,69.11
161,Jambi,Kerinci,65.16,65.85,66.71,67.49,67.96,68.89,69.68,70.03,70.59,70.95,71.21,71.45,71.99,72.54
162,Kalimantan Barat,Ketapang,60.63,61.47,62.04,62.85,63.27,64.03,64.74,65.71,66.41,67.16,67.17,67.43,67.92,68.68
163,Jawa Tengah,Klaten,70.76,71.16,71.71,72.42,73.19,73.81,73.97,74.25,74.79,75.29,75.56,76.12,76.95,77.59
164,Bali,Klungkung,66.01,67.01,67.64,68.08,68.3,68.98,69.31,70.13,70.9,71.71,71.73,71.75,72.55,73.11
165,Sulawesi Tenggara,Kolaka,67.76,68.27,68.86,69.55,70.2,70.47,71.12,71.46,72.07,73.01,73.45,73.56,73.98,74.72
166,Sulawesi Tenggara,Kolaka Timur,-,-,-,61.78,62.13,62.74,63.6,64.55,65.53,66.49,67.02,67.76,68.73,69.57
167,Sulawesi Tenggara,Kolaka Utara,63.17,63.98,64.49,65.35,65.76,66.9,67.6,67.77,68.44,68.91,69.31,69.5,70.39,71.04
168,Sulawesi Tenggara,Konawe,66.55,67.16,67.51,68.23,68.68,69.56,69.84,70.24,70.72,71.29,71.35,71.48,72.04,72.77
169,Sulawesi Tenggara,Konawe Kepulauan ,-,-,-,61.15,61.31,61.72,62.56,63.44,64.36,65.05,65.41,65.73,66.69,67.32
170,Sulawesi Tenggara,Konawe Selatan,63.2,63.65,64.05,65.02,65.6,66.32,66.97,67.23,67.51,67.88,68.2,68.58,69.36,70.32
171,Sulawesi Tenggara,Konawe Utara,63.74,64.25,64.87,65.54,66.03,66.44,67.2,67.71,68.5,69.22,69.86,70.23,71.1,71.71
172,Maluku,Kota Ambon,76.07,76.7,77.49,78.16,79.09,79.3,79.55,79.82,80.24,80.81,80.84,81.23,81.63,82.06
173,Kalimantan Timur ,Kota Balikpapan,75.55,76.02,76.56,77.53,77.93,78.18,78.57,79.01,79.81,80.11,80.01,80.71,81.13,81.66
174,Aceh,Kota Banda Aceh,80.36,80.87,81.3,81.84,82.22,83.25,83.73,83.95,84.37,85.07,85.41,85.71,86.28,86.69
175,Lampung,Kota Bandar Lampung,71.11,72.04,72.88,73.93,74.34,74.81,75.34,75.98,76.63,77.33,77.44,77.58,78.01,78.56
176,Jawa Barat,Kota Bandung,77.49,78.13,78.3,78.55,78.98,79.67,80.13,80.31,81.06,81.62,81.51,81.96,82.5,83.04
177,Jawa Barat,Kota Banjar,66.81,67.15,67.53,68.01,68.34,69.31,70.09,70.79,71.25,71.75,71.7,71.92,72.55,73.08
178,Kalimantan Selatan,Kota Banjar Baru,75.49,76.23,76.67,77.1,77.3,77.56,77.96,78.32,78.83,79.22,79.1,79.26,79.68,80.11
179,Kalimantan Selatan,Kota Banjarmasin,71.01,72.01,73.45,74.59,74.94,75.41,75.94,76.46,76.83,77.16,77.1,77.57,77.97,78.5
180,Kalimantan Selatan,Kota Baru,63.64,64.27,64.87,65.41,65.76,66.61,67.1,67.79,68.32,68.95,68.86,69.13,69.74,70.18
181,Kep. Riau,Kota Batam,76.98,77.82,78.39,78.65,79.13,79.34,79.79,80.26,80.54,81.09,81.11,81.12,81.67,82.11
182,Jawa Timur ,Kota Batu,68.66,69.76,70.62,71.55,71.89,72.62,73.57,74.26,75.04,75.88,75.9,76.28,77.22,78.18
183,Sulawesi Tenggara,Kota Baubau,70.6,71.11,71.65,72.55,73.13,73.59,73.99,74.14,74.67,75.21,75.9,76.26,76.67,77.52
