id,province,district
278,Kalimantan Timur ,Kutai Barat
279,Kalimantan Timur ,Kutai Kartanegara
280,Kalimantan Timur ,Kutai Timur
281,Sumatera Utara,Labuhan Batu
282,Sumatera Utara,Labuhan Batu Selatan
283,Sumatera Utara,Labuhan Batu Utara
284,Sumatera Selatan ,Lahat
285,Kalimantan Tengah,Lamandau
286,Jawa Timur ,Lamongan
287,Lampung,Lampung Barat
288,Lampung,Lampung Selatan
289,Lampung,Lampung Tengah
290,Lampung,Lampung Timur
291,Lampung,Lampung Utara
292,Kalimantan Barat,Landak
293,Sumatera Utara,Langkat
294,Papua,Lanny Jaya
295,Banten,Lebak
296,Bengkulu,Lebong
297,Nusa Tenggara Timur ,Lembata
298,Sumatera Barat,Lima Puluh Kota
299,Kep. Riau,Lingga
300,Nusa Tenggara Barat,Lombok Barat
301,Nusa Tenggara Barat,Lombok Tengah
302,Nusa Tenggara Barat,Lombok Timur
303,Nusa Tenggara Barat,Lombok Utara
304,Jawa Timur ,Lumajang
305,Sulawesi Selatan ,Luwu
306,Sulawesi Selatan ,Luwu Timur
307,Sulawesi Selatan ,Luwu Utara
308,Jawa Timur ,Madiun
309,Jawa Tengah,Magelang
310,Jawa Timur ,Magetan
311,Kalimantan Timur ,Mahakam Ulu
312,Jawa Barat,Majalengka
313,Sulawesi Barat,Majene
314,Nusa Tenggara Timur ,Malaka
315,Jawa Timur ,Malang
316,Kalimantan Utara,Malinau
317,Maluku,Maluku Barat Daya
318,Maluku,Maluku Tengah
319,Maluku,Maluku Tenggara
320,Maluku,Maluku Tenggara Barat
321,Sulawesi Barat,Mamasa
322,Papua,Mamberamo Raya
323,Papua,Mamberamo Tengah
324,Sulawesi Barat,Mamuju
325,Sulawesi Barat,Mamuju Tengah
326,Sulawesi Barat,Mamuju Utara
327,Sumatera Utara,Mandailing Natal
328,Nusa Tenggara Timur ,Manggarai
329,Nusa Tenggara Timur ,Manggarai Barat
330,Nusa Tenggara Timur ,Manggarai Timur
331,Papua Barat ,Manokwari
332,Papua Barat ,Manokwari Selatan
333,Papua,Mappi
334,Sulawesi Selatan ,Maros
335,Papua Barat ,Maybrat
336,Kalimantan Barat,Melawi
337,Jambi,Merangin
338,Papua,Merauke
339,Lampung,Mesuji
340,Papua,Mimika
341,Sulawesi Utara ,Minahasa
342,Sulawesi Utara ,Minahasa Selatan
343,Sulawesi Utara ,Minahasa Tenggara 
344,Sulawesi Utara ,Minahasa Utara
345,Jawa Timur ,Mojokerto
346,Sulawesi Tengah ,Morowali
347,Sulawesi Tengah ,Morowali Utara
348,Sumatera Selatan ,Muara Enim
349,Jambi,Muaro Jambi
350,Bengkulu,Mukomuko
351,Sulawesi Tenggara,Muna
352,Sulawesi Tenggara,Muna Barat
353,Kalimantan Tengah,Murung Raya
354,Sumatera Selatan ,Musi Banyuasin
355,Sumatera Selatan ,Musi Rawas
356,Sumatera Selatan ,Musi Rawas Utara
357,Papua,Nabire
358,Aceh,Nagan Raya
359,Nusa Tenggara Timur ,Nagekeo
360,Kep. Riau,Natuna
361,Papua,Nduga
362,Nusa Tenggara Timur ,Ngada
363,Jawa Timur ,Nganjuk
364,Jawa Timur ,Ngawi
365,Sumatera Utara,Nias
366,Sumatera Utara,Nias Barat
367,Sumatera Utara,Nias Selatan
368,Sumatera Utara,Nias Utara
369,Kalimantan Utara,Nunukan
370,Sumatera Selatan ,Ogan Ilir
371,Sumatera Selatan ,Ogan Komering Ilir
372,Sumatera Selatan ,Ogan Komering Ulu
373,Sumatera Selatan ,Ogan Komering Ulu Selatan
374,Sumatera Selatan ,Ogan Komering Ulu Timur
375,Jawa Timur ,Pacitan
376,Sumatera Utara,Padang Lawas
377,Sumatera Utara,Padang Lawas Utara
378,Sumatera Barat,Padang Pariaman
379,Sumatera Utara,Pakpak Bharat
380,Jawa Timur ,Pamekasan
381,Banten,Pandeglang
382,Jawa Barat,Pangandaran
383,Sulawesi Selatan ,Pangkajene Dan
384,Papua,Paniai
385,Sulawesi Tengah ,Parigi Moutong
386,Sumatera Barat,Pasaman
387,Sumatera Barat,Pasaman Barat
388,Kalimantan Timur ,Paser
389,Jawa Timur ,Pasuruan
390,Jawa Tengah,Pati
391,Papua Barat ,Pegunungan Arfak
392,Papua,Pegunungan Bintang
393,Jawa Tengah,Pekalongan
394,Riau,Pelalawan
395,Jawa Tengah,Pemalang
396,Kalimantan Timur ,Penajam Paser Utara
397,Sumatera Selatan ,Penukal Abab Lematang Ilir
398,Lampung,Pesawaran
399,Lampung,Pesisir Barat
400,Sumatera Barat,Pesisir Selatan
401,Aceh,Pidie
402,Aceh,Pidie Jaya
403,Sulawesi Selatan ,Pinrang
404,Gorontalo,Pohuwato
405,Sulawesi Barat,Polewali Mandar
406,Jawa Timur ,Ponorogo
407,Kalimantan Barat,Pontianak
408,Sulawesi Tengah ,Poso
409,Lampung,Pringsewu
410,Jawa Timur ,Probolinggo
411,Kalimantan Tengah,Pulang Pisau
412,Maluku  Utara ,Pulau Morotai
413,Maluku  Utara ,Pulau Taliabu
414,Papua,Puncak
415,Papua,Puncak Jaya
416,Jawa Tengah,Purbalingga
417,Jawa Barat,Purwakarta
418,Jawa Tengah,Purworejo
